City Name,Zone Name,Ward Name,Ward No.,Total no. of Households,schools_count,hospitals_count,roads_count,parks_count
Agra,Chatta,Kajipara,1,3636.0,54,205,25667,172
Agra,Tajganj,Gummat Takh Pahalwan,2,3872.0,54,205,25667,172
Agra,Lohamandi,Jagdish Pura,3,4297.0,54,205,25667,172
Agra,Tajganj,Sewla Jat,4,4115.0,54,205,25667,172
Agra,Tajganj,Himachal Colony,5,5109.0,54,205,25667,172
Agra,Hariparwat,Jagdish Pura Purv,6,4595.0,54,205,25667,172
Agra,Lohamandi,Khatena,7,3155.0,54,205,25667,172
Agra,Tajganj,Idgah,8,2495.0,54,205,25667,172
Agra,Lohamandi,Ghas Ki Mandi,9,3656.0,54,205,25667,172
Agra,Lohamandi,Prakash Nagar,10,3747.0,54,205,25667,172
Agra,Hariparwat,Charsu Darwaza,11,1983.0,54,205,25667,172
Agra,Lohamandi,Nagla Mohan,12,3500.0,54,205,25667,172
Agra,Hariparwat,Nagla Harmuk,13,3173.0,54,205,25667,172
Agra,Chatta,Kachpura,14,6834.0,54,205,25667,172
Agra,Tajganj,Saray Malukchand,15,3674.0,54,205,25667,172
Agra,Chatta,Dholikhar,16,2530.0,54,205,25667,172
Agra,Chatta,Ratanpura,17,3561.0,54,205,25667,172
Agra,Lohamandi,Rajnagar,18,2849.0,54,205,25667,172
Agra,Tajganj,Bundu Katra,19,3205.0,54,205,25667,172
Agra,Chatta,Freeganj,20,1798.0,54,205,25667,172
Agra,Lohamandi,Barah Kambha,21,2804.0,54,205,25667,172
Agra,Tajganj,Souhalla,22,1984.0,54,205,25667,172
Agra,Tajganj,Mohanpura,23,1924.0,54,205,25667,172
Agra,Lohamandi,Gadhi Bhadouriya,24,4853.0,54,205,25667,172
Agra,Chatta,Bag Muzaffar Khan,25,3084.0,54,205,25667,172
Agra,Hariparwat,Jageshwar Nagar,26,1664.0,54,205,25667,172
Agra,Lohamandi,Ajeet Nagar,27,3132.0,54,205,25667,172
Agra,Chatta,Nayi Ki Saray,28,8388.0,54,205,25667,172
Agra,Hariparwat,Khandari,29,2968.0,54,205,25667,172
Agra,Lohamandi,Ram Nagar,30,5050.0,54,205,25667,172
